Model,Accuracy,Precision,Recall,F1 Score
Multilayer Perceptron (MLP),0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
Decision Tree,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
Perceptron,0.8666666666666667,0.8674242424242424,0.8666666666666667,0.8624338624338624
